Product Name,Camera_MP
Apple iPhone 16 Pro 256GB ,48.0
Apple iPhone 15 256GB ,48.0
Apple iPhone 15 512GB ,48.0
Apple iPhone 15 Pro Max 512GB ,48.0
Apple iPhone 15 Pro Max 1000GB ,48.0
Apple iPhone 15 Plus 256GB ,48.0
Apple iPhone 15 Plus 512GB ,48.0
Apple iPhone 15 Pro 256GB ,48.0
Apple iPhone 15 Pro 512GB ,48.0
Apple iPhone 15 Pro 1000GB ,48.0
Apple iPhone 16 256GB ,48.0
Apple iPhone 16 512GB ,48.0
Apple iPhone 16 Plus 256GB ,48.0
Apple iPhone 16 Plus 512GB ,48.0
Apple iPhone 16 Pro Max 1000GB ,48.0
Apple iPhone 16 Pro Max 512GB ,48.0
Apple iPhone 16 Pro 512GB ,48.0
Apple iPhone 16 Pro 1000GB ,48.0
Apple iPhone 16 256GB ,48.0
Huawei P60 Pro 512GB ,13.0
Huawei nova 11 Pro 512GB ,8.0
Huawei Pura 70 Pro 512GB ,50.0
Huawei nova 12i 256GB ,108.0
Huawei Pura 70 512GB ,50.0
Huawei nova 11 256GB ,50.0
Huawei Pura 70 Ultra 1000GB ,50.0
Huawei Pura 70 Pro 1000GB ,50.0
Oppo Reno10 256GB ,64.0
Oppo Reno11 256GB ,8.0
Realme C51 128GB ,2.0
Realme C61 256GB ,50.0
Realme 12 Pro 256GB ,32.0
Realme 12 Pro+ 256GB ,32.0
Realme C65 128GB ,50.0
Realme 12+ 256GB ,50.0
Realme C55 256GB ,64.0
Realme 11 Pro 256GB ,100.0
Realme C53 256GB ,50.0
Realme 11 Pro+ 256GB ,100.0
Realme 11 256GB ,108.0
Samsung Galaxy A05 128GB ,50.0
Samsung Galaxy A05s 128GB ,2.0
Samsung Galaxy Tab S9 FE 256GB ,8.0
Samsung Galaxy S23 FE 256GB ,50.0
Samsung Galaxy Z Flip5 512GB ,12.0
Samsung Galaxy A15 128GB ,5.0
Samsung Galaxy S24 Ultra 512GB ,200.0
Samsung Galaxy S24 Ultra 1000GB ,200.0
Samsung Galaxy S24+ 512GB ,200.0
Samsung Galaxy A35 128GB ,50.0
Samsung Galaxy A35 256GB ,50.0
Samsung Galaxy A55 256GB ,50.0
Samsung Galaxy S24 256GB ,50.0
Samsung Galaxy S24 512GB ,200.0
Samsung Galaxy Z Flip6 512GB ,50.0
Samsung Galaxy Z Fold6 512GB ,50.0
Samsung Galaxy S24 FE 256GB ,12.0
Samsung Galaxy S24 FE 512GB ,200.0
Samsung Galaxy A25 256GB ,8.0
Samsung Galaxy A15 5G 128GB ,5.0
Samsung Galaxy A14 128GB ,2.0
Samsung Galaxy S23 256GB ,50.0
Samsung Galaxy S23 512GB ,200.0
Samsung Galaxy S23+ 512GB ,200.0
Samsung Galaxy M15 128GB ,5.0
Samsung Galaxy A34 128GB ,48.0
Samsung Galaxy S23 Ultra 256GB ,200.0
Samsung Galaxy S23 Ultra 512GB ,200.0
Samsung Galaxy S23 Ultra 1000GB ,200.0
Samsung Galaxy A54 128GB ,50.0
Samsung Galaxy A54 256GB ,50.0
Samsung Galaxy Z Fold5 512GB ,50.0
Samsung Galaxy A34 256GB ,48.0
Samsung Galaxy Tab S9 FE+ 256GB ,8.0
Samsung Galaxy A15 256GB ,5.0
Samsung Galaxy A15 5G 256GB ,5.0
Samsung Galaxy A06 128GB ,50.0
Samsung Galaxy A24 4G 128GB ,50.0
Tecno Spark 10 Pro 256GB ,50.0
Tecno Pova 6 Pro 256GB ,108.0
vivo V30 256GB ,50.0
vivo V29 256GB ,50.0
vivo V40 512GB ,50.0
vivo X100 512GB ,50.0
vivo X100 256GB ,50.0
vivo X100 Pro 256GB ,50.0
Xiaomi Poco F5 Pro 256GB ,0.0
Xiaomi Mix Flip 512GB ,50.0
Xiaomi Redmi 13 256GB ,13.0
Xiaomi Redmi A3 128GB ,8.0
Xiaomi 14 256GB ,108.0
