index,Product Name,Date,Price
11599,AGM G2 Guardian 256 GB,2025-03-24,58800
11893,AGM G2 Guardian 256 GB,2025-03-25,58800
11894,AGM G2 Guardian 256 GB,2025-03-26,58800
11896,AGM G2 Guardian 256 GB,2025-03-27,58800
11897,AGM G2 Guardian 256 GB,2025-03-28,58800
11898,AGM G2 Guardian 256 GB,2025-03-29,58800
11899,AGM G2 Guardian 256 GB,2025-03-30,58800
11901,AGM G2 Guardian 256 GB,2025-03-31,58800
11902,AGM G2 Guardian 256 GB,2025-04-01,58800
11903,AGM G2 Guardian 256 GB,2025-04-02,58800
11904,AGM G2 Guardian 256 GB,2025-04-03,58800
11906,AGM G2 Guardian 256 GB,2025-04-04,58800
11907,AGM G2 Guardian 256 GB,2025-04-05,58800
11908,AGM G2 Guardian 256 GB,2025-04-06,58800
11909,AGM G2 Guardian 256 GB,2025-04-07,58800
11911,AGM G2 Guardian 256 GB,2025-04-08,58800
11912,AGM G2 Guardian 256 GB,2025-04-09,58800
11913,AGM G2 Guardian 256 GB,2025-04-10,58800
11914,AGM G2 Guardian 256 GB,2025-04-11,58800
11916,AGM G2 Guardian 256 GB,2025-04-12,58800
11917,AGM G2 Guardian 256 GB,2025-04-13,58800
11918,AGM G2 Guardian 256 GB,2025-04-14,58800
11919,AGM G2 Guardian 256 GB,2025-04-15,58800
11921,AGM G2 Guardian 256 GB,2025-04-16,58800
11922,AGM G2 Guardian 256 GB,2025-04-17,58800
11923,AGM G2 Guardian 256 GB,2025-04-18,58800
11924,AGM G2 Guardian 256 GB,2025-04-19,58800
11926,AGM G2 Guardian 256 GB,2025-04-20,58800
11927,AGM G2 Guardian 256 GB,2025-04-21,58800
11928,AGM G2 Guardian 256 GB,2025-04-22,58800
11929,AGM G2 Guardian 256 GB,2025-04-23,58800
11931,AGM G2 Guardian 256 GB,2025-04-24,58800
11932,AGM G2 Guardian 256 GB,2025-04-25,58800
11933,AGM G2 Guardian 256 GB,2025-04-26,58800
11934,AGM G2 Guardian 256 GB,2025-04-27,58800
11936,AGM G2 Guardian 256 GB,2025-04-28,58800
11937,AGM G2 Guardian 256 GB,2025-04-29,58800
11938,AGM G2 Guardian 256 GB,2025-04-30,58800
11939,AGM G2 Guardian 256 GB,2025-05-01,58800
11941,AGM G2 Guardian 256 GB,2025-05-02,58800
11942,AGM G2 Guardian 256 GB,2025-05-03,58800
11943,AGM G2 Guardian 256 GB,2025-05-04,58800
11944,AGM G2 Guardian 256 GB,2025-05-05,58800
11946,AGM G2 Guardian 256 GB,2025-05-06,58800
11947,AGM G2 Guardian 256 GB,2025-05-07,58800
11948,AGM G2 Guardian 256 GB,2025-05-08,58800
11950,AGM G2 Guardian 256 GB,2025-05-09,58800
11951,AGM G2 Guardian 256 GB,2025-05-10,58800
11952,AGM G2 Guardian 256 GB,2025-05-11,58800
11953,AGM G2 Guardian 256 GB,2025-05-12,58800
13095,Honor Magic 7 Pro 512 GB,2025-02-12,59999
13339,Honor Magic 7 Pro 512 GB,2025-02-13,57999
13340,Honor Magic 7 Pro 512 GB,2025-02-14,57999
13341,Honor Magic 7 Pro 512 GB,2025-02-15,57999
13343,Honor Magic 7 Pro 512 GB,2025-02-16,57999
13344,Honor Magic 7 Pro 512 GB,2025-02-17,57999
13345,Honor Magic 7 Pro 512 GB,2025-02-18,57989
