Garanti Tipi,Kamera Çözünürlüğü,Dahili Hafıza,Ekran Boyutu,Mobil Bağlantı Hızı,RAM Kapasitesi,Pil Gücü (mAh),Cep Telefonu Modeli,Ön Kamera Çözünürlüğü,Ön Kamera Çözünürlük Aralığı,Arka Kamera Sayısı,Kablosuz Şarj,İşletim Sistemi,Garanti Süresi,Ekran Boyut Aralığı,Yüz Tanıma,Görüntü Teknolojisi,Ekran Teknolojisi,Ekran Cinsi,Ön Kamera Sayısı,Dokunmatik Ekran,Ekran Çözünürlüğü,Çift Hat,Batarya Kapasitesi Aralığı,Ana Kamera Çözünürlük Aralığı,Şarj Hızı,Kulaklık Girişi,Parmak İzi Okuyucu,Ekran Yenileme Hızı,Radio,Şarj Girişi,NFC,Görüntülü Konuşma,Video Kayıt Çözünürlüğü,Suya/Toza Dayanıklılık,Renk,Yapay Zeka,Menşei,İşlemci Markası,Bluetooth,Ana Kamera Flaş,Arttırılabilir Hafıza (Hafıza Kartı Desteği),GPS,CPU Aralık,Kozmetik Durum,Uyumlu Marka,Materyal,Ön Kamera Flaş,Tamir Edilebilirlik,Kapasite,Çözünürlük,Bellek Kapasitesi,Bağlantılar,İşlemci Çekirdek Sayısı,İşlemci Tipi,Ram (Sistem Belleği),Görüntüleme Teknolojisi,HDMI,Hızlı Şarj,Sim Kart Uyumu,CE Uygunluk Sembolu,SSD Kapasitesi,Ekran Kartı,Kullanım Amacı,Cihaz Ağırlığı,Şarjlı Kullanım Süresi,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,Hard Disk Kapasitesi,Panel Tipi,Ram (Sistem Belleği) Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Optik Sürücü Tipi,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Bakım Talimatları (Genel),Ekran Yenilenme Hızı,Tepki Süresi,Curved (Kavisli),Kontrast,Sync Teknolojisi,DVI-I,DVI-D,D-Sub (VGA),HDCP,Mini DisplayPort,DisplayPort,Dahili Hoparlör,Vesa Uyumluluğu,3D Desteği,Type-C,HDMI Giriş Sayısı,Çeşit,Bağlantı Tipi,Uzunluk,Priz Tipi,Frekans,Voltaj,Görüntü Kalitesi,Smart TV,Dahili Uydu Alıcı,Çözünürlük (Piksel),HDR,Wi-Fi Özelliği,Kurulum Gerekli mi?,Model Yılı,Kasa Çapı,Kasa Renk,Kordon Renk,Adımsayar,Nabız Sensörü,Titreşim,Uyku Takibi,Sesli Görüşme,Aktif Gürültü Önleme (ANC),Mikrofon,Dış Materyal,Bağlama Şekli,Taban Materyali,Saya Materyali,Topuk Boyu,İç Taban Materyali,Astar Materyali,Topuk Tipi,Desen,Kumaş Tipi,Ek Özellik,Sürdürülebilirlik Detayı,Ortam,Ürün Türü
Apple Türkiye Garantili,20 MP ve üstü,128 GB,"6,26 inç",5G,8 GB,3000 - 4000,iPhone 16 Pro,12 MP,10 - 15 MP,3,Var,iOS,2 Yıl,6'' - 6.5'',Var,SXRD,FHD+,OLED,1,Var,FHD+,Var,3500-4000 mAh,80 - 100 MP,20-40 W,USB Type-C,Yok,120 Hz,Yok,USB Type-C,Var,Var,2160p (Ultra HD) 4K,Var,Gri,Var,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,20 MP ve üstü,256 GB,"6,95 inç",5G,8 GB,4000 - 5000,iPhone 16 Pro Max,12 MP,10 - 15 MP,3,Var,iOS,2 Yıl,6.5'' - 7'',Var,,FHD+,OLED,1,Var,FHD+,Var,4500-5000 mAh,80 - 100 MP,20-40 W,USB Type-C,Yok,120 Hz,,USB Type-C,Var,Var,2160p (Ultra HD) 4K,Var,Pembe,,,Apple,Var,Var,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Türkiye Garantili,20 MP ve üstü,128 GB,"6,1 inç",5G,6 GB,3000 - 4000,iPhone 15,12 MP,10 - 15 MP,2,Yok,iOS,2 Yıl,6'' - 6.5'',Var,LCD,FHD+,FHD Süper AMOLED,1,Var,FHD+,Var,3000-3500 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,144 Hz,Yok,USB Type-C,Var,Var,4320p (Ultra HD) 8K,Var,Mavi,Var,,,,,,,2.0-2.5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkinci El (Garanti var),10 - 15 MP,256 GB,"6,7 inç",,8 GB,2800 ve üstü,,,,,,,1 Yıl,,,,,,,,FHD+,,,40 - 60 MP,,,,,,,,,,,Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Türkiye Garantili,20 MP ve üstü,128 GB,"6,7 inç",5G,6 GB,4000 - 5000,iPhone 15 Plus,12 MP,40 - 60 MP,2,Yok,iOS,2 Yıl,6'' - 6.5'',Var,OLED,QLED,OLED,1,Var,QHD+,Var,4000-4500 mAh,40 - 60 MP,80-100 W,USB Type-C,Var,60 Hz,Yok,USB Type-C,Var,Var,2160p (Ultra HD) 4K,Var,Mavi,Yok,,,,,,,2.0-2.5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,128 GB,"6,8 inç",,8 GB,2800 ve üstü,iPhone 15 Pro,,,,,,1 Yıl,,,,,,,,,,,10 - 15 MP,,,,,,,,,,,Beyaz,,,,,,,,,B seviye-Çok İyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Türkiye Garantili,5 - 10 MP,128 GB,"6,1 inç",5G,8 GB,3000 - 4000,iPhone 16,12 MP,5 - 10 MP,2,Var,iOS,2 Yıl,6'' - 6.5'',Var,SXRD,FHD+,OLED,1,Var,FHD+,Yok,3500-4000 mAh,5 - 10 MP,20-40 W,USB Type-C,Yok,60 Hz,Yok,USB Type-C,Var,Var,1080p (Full HD),Yok,Pembe,Var,,,,,,,2.0-2.5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Türkiye Garantili,20 MP ve üstü,256 GB,"6,7 inç",5G,8 GB,4000 - 5000,iPhone 16 Plus,12 MP,10 - 15 MP,2,Var,iOS,2 Yıl,6.5'' - 7'',Var,SXRD,,OLED,1,Var,FHD+,Var,4000-4500 mAh,40 - 60 MP,20-40 W,USB Type-C,Yok,60 Hz,Yok,USB Type-C,Var,Var,1080p (Full HD),Var,Siyah,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,iPhone 5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Uyumlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Asus Zenfone 4 Selfie,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altın,,,,,,,,,,Asus Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
