Description,Product Name,Image,Rating,Price
"Garanti Tipi:Apple Türkiye Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:128 GB; Ekran Boyutu:6,26 inç; Mobil Bağlantı Hızı:5G; RAM Kapasitesi:8 GB; Pil Gücü (mAh):3000 - 4000; Cep Telefonu Modeli:iPhone 16 Pro; Ön Kamera Çözünürlüğü:12 MP; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Arka Kamera Sayısı:3; Kablosuz Şarj:Var; İşletim Sistemi:iOS; Garanti Süresi:2 Yıl; Ekran Boyut Aralığı:6'' - 6.5''; Yüz Tanıma:Var; Görüntü Teknolojisi:SXRD; Ekran Teknolojisi:FHD+; Ekran Cinsi:OLED; Ön Kamera Sayısı:1; Dokunmatik Ekran:Var; Ekran Çözünürlüğü:FHD+; Çift Hat:Var; Batarya Kapasitesi Aralığı:3500-4000 mAh; Ana Kamera Çözünürlük Aralığı:80 - 100 MP; Şarj Hızı:20-40 W; Kulaklık Girişi:USB Type-C; Parmak İzi Okuyucu:Yok; Ekran Yenileme Hızı:120 Hz; Radio:Yok; Şarj Girişi:USB Type-C; NFC:Var; Görüntülü Konuşma:Var; Video Kayıt Çözünürlüğü:2160p (Ultra HD) 4K; Suya/Toza Dayanıklılık:Var; Renk:Gri; Yapay Zeka:Var; Menşei:CN;",Apple iPhone 16 Pro,https://cdn.dsmcdn.com/ty1608/prod/QC/20241202/10/f8aab31f-ca09-30e1-bb5f-1c1e194aa00e/1_org_zoom.jpg,4.5,79.399
"Garanti Tipi:İthalatçı Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Ekran Boyutu:6,95 inç; RAM Kapasitesi:8 GB; Pil Gücü (mAh):4000 - 5000; Dahili Hafıza:256 GB; Mobil Bağlantı Hızı:5G; Ön Kamera Çözünürlüğü:12 MP; Cep Telefonu Modeli:iPhone 16 Pro Max; İşletim Sistemi:iOS; Ön Kamera Sayısı:1; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Kablosuz Şarj:Var; Ekran Boyut Aralığı:6.5'' - 7''; Ekran Cinsi:OLED; Çift Hat:Var; Ekran Çözünürlüğü:FHD+; İşlemci Markası:Apple; Bluetooth:Var; Ekran Teknolojisi:FHD+; Arka Kamera Sayısı:3; Garanti Süresi:2 Yıl; Ana Kamera Flaş:Var; Yüz Tanıma:Var; Ana Kamera Çözünürlük Aralığı:80 - 100 MP; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; GPS:Var; Dokunmatik Ekran:Var; Video Kayıt Çözünürlüğü:2160p (Ultra HD) 4K; NFC:Var; Batarya Kapasitesi Aralığı:4500-5000 mAh; Şarj Hızı:20-40 W; Ekran Yenileme Hızı:120 Hz; Kulaklık Girişi:USB Type-C; Görüntülü Konuşma:Var; Şarj Girişi:USB Type-C; Suya/Toza Dayanıklılık:Var; Parmak İzi Okuyucu:Yok; Renk:Pembe;",Apple iPhone 16 Pro Max,https://cdn.dsmcdn.com/ty1600/prod/QC/20241108/14/694ba896-7d5f-323f-bf32-0516a4b61460/1_org_zoom.jpg,4.4,88.997
"Garanti Tipi:Apple Türkiye Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:128 GB; Ekran Boyutu:6,1 inç; Mobil Bağlantı Hızı:5G; RAM Kapasitesi:6 GB; Pil Gücü (mAh):3000 - 4000; Cep Telefonu Modeli:iPhone 15; Ön Kamera Çözünürlüğü:12 MP; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Arka Kamera Sayısı:2; Kablosuz Şarj:Yok; İşletim Sistemi:iOS; Garanti Süresi:2 Yıl; Ekran Boyut Aralığı:6'' - 6.5''; Yüz Tanıma:Var; Görüntü Teknolojisi:LCD; Ekran Teknolojisi:FHD+; Ekran Cinsi:FHD Süper AMOLED; Ön Kamera Sayısı:1; Dokunmatik Ekran:Var; Ekran Çözünürlüğü:FHD+; Çift Hat:Var; Batarya Kapasitesi Aralığı:3000-3500 mAh; Ana Kamera Çözünürlük Aralığı:40 - 60 MP; Şarj Hızı:10-20 W; Kulaklık Girişi:USB Type-C; Parmak İzi Okuyucu:Var; Ekran Yenileme Hızı:144 Hz; Radio:Yok; Şarj Girişi:USB Type-C; NFC:Var; CPU Aralık:2.0-2.5 GHz; Görüntülü Konuşma:Var; Video Kayıt Çözünürlüğü:4320p (Ultra HD) 8K; Suya/Toza Dayanıklılık:Var; Renk:Mavi; Yapay Zeka:Var;",Apple iPhone 15,https://cdn.dsmcdn.com/ty1609/prod/QC/20241202/09/d1662cea-116d-3e2c-9a7a-66c6204ea0a3/1_org_zoom.jpg,4.7,50.499
"Ekran Çözünürlüğü:FHD+; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):2800 ve üstü; Dahili Hafıza:256 GB; Garanti Tipi:İkinci El (Garanti var); Kamera Çözünürlüğü:10 - 15 MP; Garanti Süresi:1 Yıl; RAM Kapasitesi:8 GB; Ana Kamera Çözünürlük Aralığı:40 - 60 MP; Renk:Gri;",Apple iPhone 15 Pro Max,https://cdn.dsmcdn.com/ty1626/prod/QC/20250118/14/4210d5ee-2fb4-312a-9717-e47a50070136/1_org_zoom.jpg,,50.499
"Garanti Tipi:Apple Türkiye Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:128 GB; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):4000 - 5000; Mobil Bağlantı Hızı:5G; RAM Kapasitesi:6 GB; Cep Telefonu Modeli:iPhone 15 Plus; Ön Kamera Çözünürlüğü:12 MP; Ön Kamera Çözünürlük Aralığı:40 - 60 MP; Arka Kamera Sayısı:2; Kablosuz Şarj:Yok; İşletim Sistemi:iOS; Garanti Süresi:2 Yıl; Ekran Boyut Aralığı:6'' - 6.5''; Yüz Tanıma:Var; Görüntü Teknolojisi:OLED; Ekran Teknolojisi:QLED; Ekran Cinsi:OLED; Ön Kamera Sayısı:1; Dokunmatik Ekran:Var; Ekran Çözünürlüğü:QHD+; Çift Hat:Var; Batarya Kapasitesi Aralığı:4000-4500 mAh; Ana Kamera Çözünürlük Aralığı:40 - 60 MP; Şarj Hızı:80-100 W; Kulaklık Girişi:USB Type-C; Parmak İzi Okuyucu:Var; Ekran Yenileme Hızı:60 Hz; Radio:Yok; Şarj Girişi:USB Type-C; NFC:Var; CPU Aralık:2.0-2.5 GHz; Görüntülü Konuşma:Var; Video Kayıt Çözünürlüğü:2160p (Ultra HD) 4K; Suya/Toza Dayanıklılık:Var; Renk:Mavi; Yapay Zeka:Yok;",Apple iPhone 15 Plus,https://cdn.dsmcdn.com/ty1014/product/media/images/prod/SPM/PIM/20231015/22/84ca29c9-0425-32fb-b7c7-39926164e661/1_org_zoom.jpg,4.6,62.299
"Kozmetik Durum:B seviye-Çok İyi; Dahili Hafıza:128 GB; Garanti Süresi:1 Yıl; Renk:Beyaz; Ana Kamera Çözünürlük Aralığı:10 - 15 MP; Ekran Boyutu:6,8 inç; Pil Gücü (mAh):2800 ve üstü; RAM Kapasitesi:8 GB; Cep Telefonu Modeli:iPhone 15 Pro;",Apple iPhone 15 Pro,https://cdn.dsmcdn.com/ty1616/prod/QC/20241218/17/75581d57-d34c-3b4e-b24a-15df2111073c/1_org_zoom.jpg,5.0,70.999
"Garanti Tipi:Apple Türkiye Garantili; Kamera Çözünürlüğü:5 - 10 MP; Dahili Hafıza:128 GB; Ekran Boyutu:6,1 inç; Mobil Bağlantı Hızı:5G; RAM Kapasitesi:8 GB; Pil Gücü (mAh):3000 - 4000; Cep Telefonu Modeli:iPhone 16; Ön Kamera Çözünürlüğü:12 MP; Ön Kamera Çözünürlük Aralığı:5 - 10 MP; Arka Kamera Sayısı:2; Kablosuz Şarj:Var; İşletim Sistemi:iOS; Garanti Süresi:2 Yıl; Ekran Boyut Aralığı:6'' - 6.5''; Yüz Tanıma:Var; Görüntü Teknolojisi:SXRD; Ekran Teknolojisi:FHD+; Ekran Cinsi:OLED; Ön Kamera Sayısı:1; Dokunmatik Ekran:Var; Ekran Çözünürlüğü:FHD+; Çift Hat:Yok; Batarya Kapasitesi Aralığı:3500-4000 mAh; Ana Kamera Çözünürlük Aralığı:5 - 10 MP; Şarj Hızı:20-40 W; Kulaklık Girişi:USB Type-C; Parmak İzi Okuyucu:Yok; Ekran Yenileme Hızı:60 Hz; Radio:Yok; Şarj Girişi:USB Type-C; NFC:Var; CPU Aralık:2.0-2.5 GHz; Görüntülü Konuşma:Var; Video Kayıt Çözünürlüğü:1080p (Full HD); Suya/Toza Dayanıklılık:Yok; Renk:Pembe; Yapay Zeka:Var;",Apple iPhone 16,https://cdn.dsmcdn.com/ty1610/prod/QC/20241202/10/f378129e-169c-3428-8285-0b09aa742117/1_org_zoom.jpg,4.6,59.899
"Garanti Tipi:Apple Türkiye Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:256 GB; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):4000 - 5000; Mobil Bağlantı Hızı:5G; RAM Kapasitesi:8 GB; Cep Telefonu Modeli:iPhone 16 Plus; Ön Kamera Çözünürlüğü:12 MP; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Arka Kamera Sayısı:2; Kablosuz Şarj:Var; İşletim Sistemi:iOS; Garanti Süresi:2 Yıl; Ekran Boyut Aralığı:6.5'' - 7''; Yüz Tanıma:Var; Görüntü Teknolojisi:SXRD; Ekran Cinsi:OLED; Ön Kamera Sayısı:1; Dokunmatik Ekran:Var; Ekran Çözünürlüğü:FHD+; Çift Hat:Var; Batarya Kapasitesi Aralığı:4000-4500 mAh; Ana Kamera Çözünürlük Aralığı:40 - 60 MP; Şarj Hızı:20-40 W; Kulaklık Girişi:USB Type-C; Parmak İzi Okuyucu:Yok; Ekran Yenileme Hızı:60 Hz; Radio:Yok; Şarj Girişi:USB Type-C; NFC:Var; Görüntülü Konuşma:Var; Video Kayıt Çözünürlüğü:1080p (Full HD); Suya/Toza Dayanıklılık:Var; Renk:Siyah; Yapay Zeka:Var;",Apple iPhone 16 Plus,https://cdn.dsmcdn.com/ty1608/prod/QC/20241202/09/1fce8002-aef0-37b1-9ef4-c1cb987593ad/1_org_zoom.jpg,3.3,72.999
Cep Telefonu Modeli:iPhone 5S; Uyumlu Marka:Apple Uyumlu;,Asus ROG Phone 7,https://cdn.dsmcdn.com/ty295/product/media/images/20220113/2/25735806/357502165/1/1_org_zoom.jpg,,72.999
Cep Telefonu Modeli:Asus Zenfone 4 Selfie; Materyal:Silikon; Renk:Altın; Uyumlu Marka:Asus Uyumlu;,Asus Zenfone 10,https://cdn.dsmcdn.com/ty61/product/media/images/20210329/4/75846139/158222721/0/0_org_zoom.jpg,,72.999
