Product Name,Price,Product Csv name
Apple iPhone 16 Pro 256GB ,77999,Apple iPhone 16 Pro
Apple iPhone 15 256GB ,55049,Apple iPhone 15
Apple iPhone 15 512GB ,64999,Apple iPhone 15
Apple iPhone 15 Pro Max 512GB ,94999,Apple iPhone 15 Pro Max
Apple iPhone 15 Pro Max 1000GB ,94999,Apple iPhone 15 Pro Max
Apple iPhone 15 Plus 256GB ,63749,Apple iPhone 15 Plus
Apple iPhone 15 Plus 512GB ,70499,Apple iPhone 15 Plus
Apple iPhone 15 Pro 256GB ,82999,Apple iPhone 15 Pro
Apple iPhone 15 Pro 512GB ,94545,Apple iPhone 15 Pro
Apple iPhone 15 Pro 1000GB ,73999,Apple iPhone 15 Pro
Apple iPhone 16 256GB ,64739,Apple iPhone 16
Apple iPhone 16 512GB ,73999,Apple iPhone 16
Apple iPhone 16 Plus 256GB ,74499,Apple iPhone 16 Plus
Apple iPhone 16 Plus 512GB ,82883,Apple iPhone 16 Plus
Apple iPhone 16 Pro Max 1000GB ,94999,Apple iPhone 16 Pro Max
Apple iPhone 16 Pro Max 512GB ,94999,Apple iPhone 16 Pro Max
Apple iPhone 16 Plus 512GB ,82883,Apple iPhone 16 Plus
Apple iPhone 16 Plus 256GB ,74499,Apple iPhone 16 Plus
Apple iPhone 16 512GB ,73999,Apple iPhone 16
Apple iPhone 16 256GB ,64739,Apple iPhone 16
Apple iPhone 15 Pro 1000GB ,73999,Apple iPhone 15 Pro
Apple iPhone 15 Pro 512GB ,94545,Apple iPhone 15 Pro
Apple iPhone 15 Pro 256GB ,82999,Apple iPhone 15 Pro
Apple iPhone 15 Pro 1000GB ,73999,Apple iPhone 15 Pro
Apple iPhone 15 Pro 512GB ,94545,Apple iPhone 15 Pro
Apple iPhone 15 Pro 256GB ,82999,Apple iPhone 15 Pro
Apple iPhone 15 Plus 512GB ,70499,Apple iPhone 15 Plus
Apple iPhone 15 Plus 256GB ,63749,Apple iPhone 15 Plus
Apple iPhone 15 Plus 512GB ,70499,Apple iPhone 15 Plus
Apple iPhone 15 Plus 256GB ,63749,Apple iPhone 15 Plus
Apple iPhone 16 Pro 512GB ,89999,Apple iPhone 16 Pro
Apple iPhone 15 Pro Max 1000GB ,94999,Apple iPhone 15 Pro Max
Apple iPhone 15 Pro Max 1000GB ,94999,Apple iPhone 15 Pro Max
Apple iPhone 15 Pro Max 512GB ,94999,Apple iPhone 15 Pro Max
Apple iPhone 15 512GB ,64999,Apple iPhone 15
Apple iPhone 15 256GB ,55049,Apple iPhone 15
Apple iPhone 15 512GB ,64999,Apple iPhone 15
Apple iPhone 15 256GB ,55049,Apple iPhone 15
Apple iPhone 16 Pro 256GB ,77999,Apple iPhone 16 Pro
Apple iPhone 16 Pro 512GB ,89999,Apple iPhone 16 Pro
Apple iPhone 16 Pro 1000GB ,73999,Apple iPhone 16 Pro
Apple iPhone 15 Pro Max 512GB ,94999,Apple iPhone 15 Pro Max
Apple iPhone 16 Pro 256GB ,77999,Apple iPhone 16 Pro
Apple iPhone 15 256GB ,55049,Apple iPhone 15
Apple iPhone 15 512GB ,64999,Apple iPhone 15
Apple iPhone 15 Pro Max 512GB ,94999,Apple iPhone 15 Pro Max
