Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Fast Charging,Refresh Rate,5G,Price
Xiaomi 15 Ultra 16 GB RAM 512 GB,6.73,AMOLED,522.0,5410,50,3,Android,16,512,1.0,120.0,1,72999
Honor Magic7 Pro 12 GB RAM 512 GB,6.8,OLED,453.0,5850,50,3,Android,12,512,1.0,120.0,1,52999
Vivo X200 Pro 16 GB RAM 512 GB,6.78,AMOLED,452.0,6000,50,3,Android,16,512,1.0,120.0,1,64999
Apple iPhone 16 Pro Max 8 GB RAM 1024 GB,6.9,OLED,460.0,4685,48,3,iOS,8,1024,1.0,120.0,1,118989
Xiaomi 15 12 GB RAM 512 GB,6.36,AMOLED,460.0,5240,50,3,Android,12,512,1.0,120.0,1,49598
Samsung Galaxy S25 Ultra 12 GB RAM 1024 GB,6.9,Dynamic AMOLED,498.0,5000,200,3,Android,12,1024,1.0,120.0,1,81999
Apple iPhone 16 Pro Max 8 GB RAM 512 GB,6.9,OLED,460.0,4685,48,3,iOS,8,512,1.0,120.0,1,96999
Apple iPhone 16 Pro 8 GB RAM 1024 GB,6.3,OLED,460.0,3582,48,3,iOS,8,1024,1.0,120.0,1,95999
Apple iPhone 16 Pro Max 8 GB RAM 256 GB,6.9,OLED,460.0,4685,48,3,iOS,8,256,1.0,120.0,1,86999
Poco F7 Ultra 16 GB RAM 512 GB,6.67,AMOLED,526.0,5300,50,3,Android,16,512,1.0,120.0,1,49999
Xiaomi 14 Ultra 16 GB RAM 512 GB,6.73,AMOLED,522.0,5000,50,4,Android,16,512,1.0,120.0,1,64899
Samsung Galaxy S25 Ultra 12 GB RAM 256 GB,6.9,Dynamic AMOLED,498.0,5000,200,3,Android,12,256,1.0,120.0,1,69138
Nubia Red Magic 10 Pro 24 GB RAM 1024 GB,6.85,AMOLED,431.0,7050,50,3,Android,24,1024,1.0,144.0,1,75299
