ProductID,ImageUrl,Model,Price,Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Suya dayanıklılık,Toza dayanıklılık
966543,https://resim.epey.com/966543/b_xiaomi-15-ultra-2.png,Xiaomi 15 Ultra 16 GB RAM 512 GB,72449,Xiaomi 15 Ultra,6.73 İnç,AMOLED,522 PPI,5410 mAh,50 MP,3 nm,Android,16 GB,512 GB,120 Hz,Var,IPX8,IP6X
968566,https://resim.epey.com/968566/b_oneplus-13-1.png,OnePlus 13 16 GB RAM 512 GB,59998,OnePlus 13,6.82 İnç,AMOLED,510 PPI,6000 mAh,50 MP,3 nm,Android,16 GB,512 GB,120 Hz,Var,IPX9,IP6X
968786,https://resim.epey.com/968786/b_honor-magic7-pro-11.png,Honor Magic7 Pro 12 GB RAM 512 GB,54799,Honor Magic7 Pro,6.8 İnç,OLED,453 PPI,5850 mAh,50 MP,3 nm,Android,12 GB,512 GB,120 Hz,Var,IPX9,IP6X
960937,https://resim.epey.com/960937/b_vivo-x200-pro-1.png,Vivo X200 Pro 16 GB RAM 512 GB,64999,Vivo X200 Pro,6.78 İnç,AMOLED,452 PPI,6000 mAh,50 MP,3 nm,Android,16 GB,512 GB,120 Hz,Var,IPX9,IP6X
960862,https://resim.epey.com/960862/b_apple-iphone-16-pro-max-1tb-2.png,Apple iPhone 16 Pro Max 8 GB RAM,119999,Apple iPhone 16 Pro Max,6.9 İnç,OLED,460 PPI,4685 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X
997423,https://resim.epey.com/997423/b_xiaomi-15-512gb-9.png,Xiaomi 15 12 GB RAM 512 GB,48959,Xiaomi 15,6.36 İnç,AMOLED,460 PPI,5240 mAh,50 MP,3 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
989052,https://resim.epey.com/989052/b_samsung-galaxy-s25-ultra-1tb-2.png,Samsung Galaxy S25 Ultra 12 GB RAM,81651,Samsung Galaxy S25 Ultra,6.9 İnç,Dynamic AMOLED,498 PPI,5000 mAh,200 MP,3 nm,Android,12 GB,1 TB,120 Hz,Var,IPX8,IP6X
960861,https://resim.epey.com/960861/b_apple-iphone-16-pro-max-512gb-2.png,Apple iPhone 16 Pro Max 8 GB RAM 512 GB,96999,Apple iPhone 16 Pro Max,6.9 İnç,OLED,460 PPI,4685 mAh,48 MP,3 nm,iOS,8 GB,512 GB,120 Hz,Var,IPX8,IP6X
960860,https://resim.epey.com/960860/b_apple-iphone-16-pro-1tb-2.png,Apple iPhone 16 Pro 8 GB RAM,95999,Apple iPhone 16 Pro,6.3 İnç,OLED,460 PPI,3582 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X
952387,https://resim.epey.com/952387/b_apple-iphone-16-pro-max-2.png,Apple iPhone 16 Pro Max 8 GB RAM 256 GB,86999,Apple iPhone 16 Pro Max,6.9 İnç,OLED,460 PPI,4685 mAh,48 MP,3 nm,iOS,8 GB,256 GB,120 Hz,Var,IPX8,IP6X
999305,https://resim.epey.com/999305/b_poco-f7-ultra-5.png,Poco F7 Ultra 16 GB RAM 512 GB,49999,Poco F7 Ultra,6.67 İnç,AMOLED,526 PPI,5300 mAh,50 MP,3 nm,Android,16 GB,512 GB,120 Hz,Var,IPX8,IP6X
923849,https://resim.epey.com/923849/b_xiaomi-14-ultra-6.png,Xiaomi 14 Ultra 16 GB RAM 512 GB,65000,Xiaomi 14 Ultra,6.73 İnç,AMOLED,522 PPI,5000 mAh,50 MP,4 nm,Android,16 GB,512 GB,120 Hz,Var,IPX8,IP6X
939167,https://resim.epey.com/939167/b_samsung-galaxy-s25-ultra-2.png,Samsung Galaxy S25 Ultra 12 GB RAM 256 GB,69236,Samsung Galaxy S25 Ultra,6.9 İnç,Dynamic AMOLED,498 PPI,5000 mAh,200 MP,3 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP6X
960859,https://resim.epey.com/960859/b_apple-iphone-16-pro-512gb-2.png,Apple iPhone 16 Pro 8 GB RAM 512 GB,89999,Apple iPhone 16 Pro,6.3 İnç,OLED,460 PPI,3582 mAh,48 MP,3 nm,iOS,8 GB,512 GB,120 Hz,Var,IPX8,IP6X
1001247,https://resim.epey.com/1001247/b_samsung-galaxy-s25-plus-2.png,Samsung Galaxy S25+ 12 GB RAM 512 GB,58589,Samsung Galaxy S25+,6.7 İnç,Dynamic AMOLED,513 PPI,4900 mAh,50 MP,3 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
895854,https://resim.epey.com/895854/b_apple-iphone-15-pro-max-1tb-3.png,Apple iPhone 15 Pro Max 8 GB RAM,102999,Apple iPhone 15 Pro Max,6.7 İnç,OLED,460 PPI,4441 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X
942603,https://resim.epey.com/942603/b_oneplus-12-5.png,OnePlus 12 16 GB RAM 512 GB,75999,OnePlus 12,6.82 İnç,AMOLED,510 PPI,5400 mAh,50 MP,4 nm,Android,16 GB,512 GB,120 Hz,Var,IPX5,IP6X
