Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Price,Waterproof,Dustproof,ProductID
Apple iPhone 16 Pro Max 8 GB RAM 1024 GB,6.9,OLED,460,4685,48,3,iOS,8,1024,120,1,119999.0,8,6,960862
Apple iPhone 16 Pro Max 8 GB RAM 512 GB,6.9,OLED,460,4685,48,3,iOS,8,512,120,1,96999.03,8,6,960861
Apple iPhone 16 Pro 8 GB RAM 1024 GB,6.3,OLED,460,3582,48,3,iOS,8,1024,120,1,95999.0,8,6,960860
Apple iPhone 16 Pro Max 8 GB RAM 256 GB,6.9,OLED,460,4685,48,3,iOS,8,256,120,1,86999.0,8,6,952387
Apple iPhone 16 Pro 8 GB RAM 512 GB,6.3,OLED,460,3582,48,3,iOS,8,512,120,1,89999.0,8,6,960859
Apple iPhone 15 Pro Max 8 GB RAM 1024 GB,6.7,OLED,460,4441,48,3,iOS,8,1024,120,1,102999.0,8,6,895854
Apple iPhone 16 Pro 8 GB RAM 256 GB,6.3,OLED,460,3582,48,3,iOS,8,256,120,1,77999.0,8,6,960858
Apple iPhone 15 Pro Max 8 GB RAM 512 GB,6.7,OLED,460,4441,48,3,iOS,8,512,120,1,97919.04,8,6,895853
Apple iPhone 16 Pro 8 GB RAM 128 GB,6.3,OLED,460,3582,48,3,iOS,8,128,120,1,73999.0,8,6,952452
Apple iPhone 15 Pro 8 GB RAM 1024 GB,6.1,OLED,460,3274,48,3,iOS,8,1024,120,1,99999.0,8,6,895857
Apple iPhone 15 Pro Max 8 GB RAM 256 GB,6.7,OLED,460,4441,48,3,iOS,8,256,120,1,85996.32,8,6,894486
Apple iPhone 15 Pro 8 GB RAM 512 GB,6.1,OLED,460,3274,48,3,iOS,8,512,120,1,91199.04,8,6,895856
Apple iPhone 14 Pro Max 6 GB RAM 1024 GB,6.7,OLED,460,4323,48,4,iOS,6,1024,120,1,94805.42,8,6,809152
Apple iPhone 15 Pro 8 GB RAM 256 GB,6.1,OLED,460,3274,48,3,iOS,8,256,120,1,92609.02,8,6,895855
Apple iPhone 16 Plus 8 GB RAM 512 GB,6.7,OLED,460,4674,48,3,iOS,8,512,60,1,74989.0,8,6,960856
Apple iPhone 14 Pro Max 6 GB RAM 512 GB,6.7,OLED,460,4323,48,4,iOS,6,512,120,1,97000.0,8,6,809150
Apple iPhone 16 Plus 8 GB RAM 256 GB,6.7,OLED,460,4674,48,3,iOS,8,256,60,1,74289.0,8,6,960855
Apple iPhone 15 Pro 8 GB RAM 128 GB,6.1,OLED,460,3274,48,3,iOS,8,128,120,1,72994.29,8,6,886226
Apple iPhone 14 Pro 6 GB RAM 1024 GB,6.1,OLED,460,3200,48,4,iOS,6,1024,120,1,96999.0,8,6,809146
Apple iPhone 14 Pro Max 6 GB RAM 256 GB,6.7,OLED,460,4323,48,4,iOS,6,256,120,1,70771.2,8,6,809148
Apple iPhone 16 8 GB RAM 512 GB,6.1,OLED,460,3561,48,3,iOS,8,512,60,1,72999.0,8,6,960854
Apple iPhone 16 Plus 8 GB RAM 128 GB,6.7,OLED,460,4674,48,3,iOS,8,128,60,1,65899.0,8,6,959953
Apple iPhone 14 Pro 6 GB RAM 512 GB,6.1,OLED,460,3200,48,4,iOS,6,512,120,1,91999.0,8,6,809145
Apple iPhone 16 8 GB RAM 256 GB,6.1,OLED,460,3561,48,3,iOS,8,256,60,1,63499.2,8,6,960853
Apple iPhone 14 Pro Max 6 GB RAM 128 GB,6.7,OLED,460,4323,48,4,iOS,6,128,120,1,65562.0,8,6,802361
Apple iPhone 13 Pro Max 6 GB RAM 1024 GB,6.7,OLED,458,4352,12,5,iOS,6,1024,120,1,99999.0,8,6,717143
Apple iPhone 14 Pro 6 GB RAM 256 GB,6.1,OLED,460,3200,48,4,iOS,6,256,120,1,78000.0,8,6,809144
Apple iPhone 16e 8 GB RAM 512 GB,6.1,OLED,460,4005,48,3,iOS,8,512,60,1,59999.0,8,6,994887
Apple iPhone 16 8 GB RAM 128 GB,6.1,OLED,460,3561,48,3,iOS,8,128,60,1,54999.0,8,6,959779
Apple iPhone 14 Pro 6 GB RAM 128 GB,6.1,OLED,460,3200,48,4,iOS,6,128,120,1,61983.0,8,6,802356
Apple iPhone 16e 8 GB RAM 256 GB,6.1,OLED,460,4005,48,3,iOS,8,256,60,1,48979.0,8,6,994886
Apple iPhone 15 Plus 6 GB RAM 512 GB,6.7,OLED,460,4383,48,4,iOS,6,512,60,1,73066.0,8,6,895862
