Product Name,Date,Price
iPhone 15 128 GB,15.08.2024,"49.749,00 TL"
iPhone 15 128 GB,08.09.2024,"49.999,00 TL"
iPhone 15 128 GB,02.10.2024,"51.410,00 TL"
iPhone 15 128 GB,25.10.2024,"52.299,00 TL"
iPhone 15 128 GB,17.11.2024,"51.449,00 TL"
iPhone 15 128 GB,12.12.2024,"50.649,00 TL"
iPhone 15 128 GB,05.01.2025,"50.177,31 TL"
iPhone 15 128 GB,29.01.2025,"49.939,00 TL"
iPhone 15 128 GB,22.02.2025,"49.739,00 TL"
iPhone 15 128 GB,18.03.2025,"49.015,00 TL"
iPhone 15 128 GB,11.04.2025,"51.743,04 TL"
iPhone 15 128 GB,01.05.2025,"50.999,00 TL"
Samsung Galaxy S24 FE 256 GB,27.09.2024,"32.999,00 TL"
Samsung Galaxy S24 FE 256 GB,27.09.2024,"32.999,00 TL"
Samsung Galaxy S24 FE 256 GB,02.10.2024,"32.799,00 TL"
Samsung Galaxy S24 FE 256 GB,25.10.2024,"29.434,00 TL"
Samsung Galaxy S24 FE 256 GB,18.11.2024,"28.300,00 TL"
Samsung Galaxy S24 FE 256 GB,12.12.2024,"26.899,00 TL"
Samsung Galaxy S24 FE 256 GB,05.01.2025,"27.996,28 TL"
Samsung Galaxy S24 FE 256 GB,29.01.2025,"26.946,32 TL"
Samsung Galaxy S24 FE 256 GB,22.02.2025,"26.699,00 TL"
Samsung Galaxy S24 FE 256 GB,18.03.2025,"25.799,00 TL"
Samsung Galaxy S24 FE 256 GB,11.04.2025,"25.130,88 TL"
Samsung Galaxy S24 FE 256 GB,01.05.2025,"26.440,29 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,15.08.2024,"11.420,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,08.09.2024,"11.050,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,02.10.2024,"10.965,52 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,25.10.2024,"10.489,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,18.11.2024,"10.077,79 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,12.12.2024,"10.139,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,05.01.2025,"10.175,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,29.01.2025,"9.850,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,22.02.2025,"10.200,66 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,18.03.2025,"10.342,50 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,11.04.2025,"11.630,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,01.05.2025,"10.680,00 TL"
